[REVIEW] good professor and caring. A lot of work though and it is quite difficult. | Quality: 5.0 | Difficulty: 3
[REVIEW] If he says project will be graded by xxx, don't believe him. He grades projects manually and from my experience, tries to get you as many points as you can get. Decent professor, but unacceptable start to the semester. Teaches moderately well. Projects are a lot of the grade, DONT fall behind. He is aggressive on Piazza at times. No issues with OH. | Quality: 3.0 | Difficulty: 3
[REVIEW] He was okay. He wasn't the best at the start, but he improved with time. Not very organized and late about release of projects and other important assignments/announcements. The projects are similar, but he doesn't provide no solutions and lectures don't really help. Office hours are packed and piazza responses are late and passive aggressive. | Quality: 2.0 | Difficulty: 5
[REVIEW] He is very knowledgeable professor one thing students don't like about him is that he grade projects manually which is a good thing, as your project will be graded on the accuracy and not on correctness | Quality: 5.0 | Difficulty: 1
[REVIEW] people dont like him because he had to hand grade hundreds of projects and it took him a while to do that. hes honestly a really chill and knowledgeable professor but the way students were verbally attacking him was out of control. hes one of the only cs profs ive had that actually responds to emails. if you need help in his class, just ask him. | Quality: 5.0 | Difficulty: 3
[REVIEW] if you take this professor, be expected to study everything on your own. This professor doesn't know anything outside of the slides that aren't his. The professor knows the teaching quality is low, so he gives extra credit if you can tolerate sitting in the class listening to someone reading slides. | Quality: 1.0 | Difficulty: 5
[REVIEW] people really hate on him, not sure why. no one attended class or started their programs early, so they like to complain. the dude was solid, fair, gave extensions in certain circumstances and admitted when he was wrong. ppl need to get real and stop expecting easy work | Quality: 5.0 | Difficulty: 3
[REVIEW] At first, I thought he was a fairly good professor, but I've come to realize after reflecting and numbering the number of good things you could take away from his class that he just isn't a good professor. His teaching is limited to his slideshows, if you ask him stuff outside of it he wont have a good response. He doesn't care about your situation | Quality: 1.0 | Difficulty: 4
[REVIEW] This Professor is the worst! Started the semester a little under the weather and messed up the first few weeks which we can't blame him for. But after that, extremely rude and tries to show that he is the Alpha Male and never responds to emails or piazza discussions. He reads off of the lecture slides and takes up 20/45 mins on class logistics. | Quality: 1.0 | Difficulty: 5
[REVIEW] Completely deaf to the valid criticisms students have had with his lack of actions on his promises to grade, assign work, and assistance on piazza. Despite paying attention and doing the best I can to get help on assignments, its been all for naught. His TAs are much more competent than him at actually getting students to understand the material. | Quality: 1.0 | Difficulty: 5
[REVIEW] idk why ppl are complaining so much,2 weeks for each project,where youre given half the code and clear steps for how to complete each milestone.drops a lot of hw,and has a reward system for evals. lectures are vague but with how much material needed to cover sorta makes sense. lots of easy points. he is a bit cold but can be very helpful at times | Quality: 4.0 | Difficulty: 3
[REVIEW] gave extensions for at least 2/6 projects,project description + jumpstart give you so much code/info its easy to start a project.first month was a mess,but now he responds to piazza posts on time.unlimited tries untimed on weekly quizzes,3 tries on mastery quizzes, all for which you can see your grade,easy points on labs and zybooks,easier than 141 | Quality: 4.0 | Difficulty: 3
[REVIEW] Went almost every single class, struggled, and when I reached out for help on Piazza/office hours, it was radio silence. He wastes half the lecture going over "logistics" that could easily be told over Piazza, and his explanations of topics were poor since he doesn't use his own lecture materials. If there is another professor, take them instead. | Quality: 1.0 | Difficulty: 5
[REVIEW] ugh I wish rate my professors had options like 'irresponsible', 'dont have no clue what they are doing', 'dont give a damn', or whatnot! That would be this Professor. Take his class only if you have no other choice and if you are ready to face it | Quality: 1.0 | Difficulty: 5
[REVIEW] Overall Koehler is a good professor. If you don't understand a topic you can go to office hours and he will help you. The only way to have a hard time or an issue with the class is if you don't apply yourself and go in expecting an easy A. | Quality: 5.0 | Difficulty: 3
[REVIEW] I'm planning to take this person for class next semester, I don't want to take it, but I have no other choice. Can UIC please change the professor to Pat Troy please!!! | Quality: 1.0 | Difficulty: 4
[REVIEW] Adam has given extensions on multiple project and is very responsive to messages. The complaints on here are coming from people who are unable to think for themselves. He knows the material very well and has proven to be someone I would take again. The guy is smart and people are doing themselves a disservice by not going to class. | Quality: 5.0 | Difficulty: 3
[REVIEW] Definitely not the best professor for CS. Made an in-person lecture online, and now I don't understand most of the things he teaches in class. No extensions were provided for the projects. Zero for not being a flexible professor. Knows how to make a challenging class even more difficult than it should be. Doesn't care about students' mental health. | Quality: 1.0 | Difficulty: 5
[REVIEW] The reviews make him seem like the worst teacher ever when in reality he's not. His communication/posting wasn't the best in the beginning but he did get a lot better and always extended deadlines. The way he teaches is also pretty good, always posts videos of what he goes over in class, and is easily digestible. Don't be afraid of the class! | Quality: 4.0 | Difficulty: 3
[REVIEW] he's about as good at teaching as a fourteen year old boy who forgot they had a project for a science fair due tomorrow, skimmed wikipedia, and created a google presentation written entirely in the comic sans font. if you're expecting to actually learn anything, you're out of luck and might as well just learn everything from W3 Schools. sorry. | Quality: 1.0 | Difficulty: 5
[REVIEW] ONE OF THE BEST PROFESSORS EVER, HE DECIDES TO HAVE TWO IN PERSON CLASSES BUT FOR THE LAST ONE HE MAKES US GO ONLINE WHEN HES STILL ON CAMPUS, HE'S AN MURPHYS LAW FANATIC! HES GOT EVERYTHING UNDER CONTROL WOULD TAKE AGAIN IF I WANTED TO COMTEMPLATE QUITTING CS | Quality: 1.0 | Difficulty: 5
[REVIEW] The worst professor I have ever had. It took him 2 weeks to post syllabus. He could not even post a project on time even though it was the same as it was in the previous semester. I am really impressed with how bad and disorganized he is at teaching. | Quality: 1.0 | Difficulty: 5
[REVIEW] The professor is awesome. I'm taking him this year and he taught class while fighting in the Vietnam War. The dedication to teach through time is unreal. Full props for the hard work! | Quality: 1.0 | Difficulty: 5
[REVIEW] He is by far the worst professor I've ever had. Delayed important assignments for reasons he wouldn't explain, and then only gave a few days extension when he delayed the assignment for WEEKS. Takes AGES to respond to things on Piazza, and going to class is a waste of time. Better hope you don't have questions bc he's not going to answer them. | Quality: 1.0 | Difficulty: 4
[REVIEW] PLEASE AVOID AT ALL COSTS. He will just give excuses on why he is behind with material. I cant even learn about one of the most essential CS classes because of him (CS251). Almost a month in the semester and barely any material is posted. | Quality: 1.0 | Difficulty: 5
[REVIEW] I retook this class in the summer and he was pretty good! | Quality: 5.0 | Difficulty: 3
[REVIEW] this is 3 credit hour class and a 100 level class , but it felt like a 6 credit class. He gives way tooo much homework, projects every week, lab assignments every week, and ILP every 3 weeks (basically you go one on one with a TA and they test you certain topics very nerve racking) I didnt even do this much in senior design lmfao | Quality: 2.0 | Difficulty: 4
[REVIEW] Terrible professor! This is an intro level course of CS and the projects he assigns expects one to know python in and out. Homework and labs makes one understand the language, but the projects assigned are insanely tough. | Quality: 1.0 | Difficulty: 5
[REVIEW] Professor Koehler was was very understanding but his class was difficult overall. This was my only coding class needed and it was hard to understand with no prior coding experience. If you don't pay attention to the lecture slides or homework you will not understand the labs which are worth majority of your grade. | Quality: 3.0 | Difficulty: 5
[REVIEW] Maybe smth happened last semester to warrant these reviews, but grading was timely this semester. Not harsh grading, the TAs were great, the course was pretty easy imo. I never watched the lectures (partially bc i didn't know they existed for a long time) and still got an A. I've only taken an intro course on python before, take that as you will | Quality: 5.0 | Difficulty: 3
[REVIEW] His CS109 class had a huge weekly workload and his video lectures are a little boring. I learned more from the TAs during the discussion but he did add a fair amount of extra credit for the class towards the end of the semester. | Quality: 2.0 | Difficulty: 4
[REVIEW] I like him | Quality: 4.0 | Difficulty: 4
[REVIEW] He is great I don't know why people don't like him, the class is fairly easy, and he gives plenty of help and there's only a lecture once a week, there is a good amount of hw but its all fairly simple and can be done in hour the only really involved parts ar the projects but you have a week to do them and only the 5th one is very difficult | Quality: 5.0 | Difficulty: 2
[REVIEW] Worst professor at UIC. Unresponsive, cold and discompasionate. | Quality: 1.0 | Difficulty: 4
[REVIEW] Fantastic Prof! He tries hard to be accessible and provide as many resources as possible to help students pass the class. It is a hard classhas weeded out its fair share of engineering majorsbut super applicable to future classes. | Quality: 5.0 | Difficulty: 4
[REVIEW] Class was completely online and was difficult to navigate through as you needed multiple accounts and subscriptions to complete homework and projects. Attendance is not required, class is overcomplicated and run by TA's. Unfortunately, if you are an engineering major you most likely will need to take this class and he is the only option (ATM). | Quality: 1.0 | Difficulty: 3
[REVIEW] This professor expects you to know everything while not teach anything. Do not take his class if you do not want to waste your money | Quality: 1.0 | Difficulty: 5
[REVIEW] Probably in the top 5 worst professors at UIC, taking this class gave me severe anxiety and depression. When I reacted out for help he practically told me too bad so sad. All these reviews are true, cs is a tricky subject but Koehler found a way to make it feel like rocket science:( AVOID AT ALL COST | Quality: 1.0 | Difficulty: 4
[REVIEW] All of these ratings are 100% accurate. Don't take this professor. Always coming late to lecture and only get about 15 minutes of actual lecture out of the whole 50 minutes. If you love being super confused, working on labs/projects for 10+ hours per week, and still learn nothing, you'll love this class. His class structure is ridiculous. | Quality: 1.0 | Difficulty: 5
[REVIEW] Do you like figuring things out by yourself? If you do, this professor is the one for you. The best thing about this professor is that he shows up 10-15 minutes late to every lecture. He is also nice enough to use up more than half of the lecture time to explain the due dates while using the rest of the time to complain about his students. | Quality: 1.0 | Difficulty: 5
[REVIEW] Prof. Kohler is the worst of the worst teachers. I have no words to describe the rudeness and lack of compassion towards students. He never opened matlab to show an example and had to wait hours for office hours. Withdrew the class because it shortened my life with two months, having a panic attack every other day. Avoid at all possible costs. | Quality: 1.0 | Difficulty: 5
[REVIEW] The structure of this class is so horrible that we're going into finals not having our midterm graded ... Professor's teaching is mediocre at best, but his class structure is utterly atrocious. | Quality: 1.0 | Difficulty: 5
[REVIEW] THE WORST FREAKING PROFESSOR I HAVE EVER WITNESSED IN MY WHOLE 19 YEARS OF LIVING ON THIS PLANET. I just took a final and the freaking midterm has still not even been graded. This is just straight up not only one of the biggest ironies that are characteristic of such lackadaisical and unprofessional &quot;professors&quot; but also is unethical!BEWARE HABIBIS | Quality: 1.0 | Difficulty: 5
[REVIEW] Always late to lecture. Very condescending and monotone. If you put in tons of time, google, YouTube, friends, office hours, etc you'll pass. But the lecture is trash. The help you receive will be very vague and confusing most times. Honestly avoid this professor if possible. | Quality: 1.0 | Difficulty: 4
[REVIEW] Koehler is one of the worst professors even though he was a TA for 10 years. I guess he never learned how to teach. He always starts his lectures late even though he is in the zoom meeting. His teaching style is nonexistent and relies on assigning labs and projects on a weekly basis to &quot;teach&quot; the class. Avoid him at all costs. | Quality: 1.0 | Difficulty: 4
[REVIEW] ONE OF THE WORST TEACHERS AT UIC. Horrible attitude and zero compassion towards students. Is 20 mins late to his own lectures and gets mad when students ask for help or questions. Also theres is no collaboration in the class at all so if you need help good luck! You leave his office hours more confused than before you went. Avoid at all cost!!! | Quality: 1.0 | Difficulty: 4
[REVIEW] New prof teaches cs 109, very un-organized and is constantly extending assignments because he forgets to post lecture videos, was excited for this class but the course felt like I was constantly having to teach myself everything. Forget about weekends because he assigns heavyy labs and projects those days, sadly has a bad attitude towards student . | Quality: 1.0 | Difficulty: 4
[REVIEW] Was struggling in the middle of the semester with depression and when I asked him for extra help/resources, he immediately told me to drop the class and count my losses because letting me complete missed assignments would have been &quot;unfair&quot; to the rest of the class since &quot;everyone else has their own dilemmas&quot;. | Quality: 1.0 | Difficulty: 4
[REVIEW] Koehler is one of the worst professors at UIC. He is never on time to his own lectures, at least 10 minutes late, and he is a ridiculously hard grader. There is no compassion shown for students whatsoever. He rarely answers student questions and when he does it leaves you more confused than when you started. Avoid him at all costs. | Quality: 1.0 | Difficulty: 4
