[REVIEW] Some people age into wisdom. Others age into HR training opportunities | Quality: 1.0 | Difficulty: 3
[REVIEW] Prof. Igic and prof. Theys taught this coding class with biology. I liked his part of this class. Lots of homework and projects, but they help you out in class and lab and office hours. Its the same as CS111 except maybe a little easier and with biology. Good class overall. | Quality: 5.0 | Difficulty: 5
[REVIEW] the reason why Theys gets a bad rep is because if how difficult the course is. He does a really good job explains the concepts and makes sure that everyone understands it. The labs can be hard but the TA give really good hints. | Quality: 5.0 | Difficulty: 4
[REVIEW] For lectures, he actually explains the topics well, but talks really slow, and takes a long time on the questions. He will give review questions for exams but won't give you the answers for them. He is a tough professor, but at least he gets the grades out quickly. The TA's are a hit/miss, but he explains things well in his OH. | Quality: 3.0 | Difficulty: 4
[REVIEW] Not a good lecturer and class content shared is difficult to understand. When lecturing, discusses topics in terms that are foreign to students learning the new concept. Skips information when lecturing and returns to it later making things confusing. Be prepared to ask the same question many times since he won't answer it clearly at the first. | Quality: 2.0 | Difficulty: 5
[REVIEW] CS 261 is one of the hardest CS classes so Theys receives a lot of criticism. He teaches the material well & works hard to help students understand it outside of class, very approachable. He's NOT an easy grader. My only complaint is that the readings he gives as homework are really confusing but that's also due to the nature of the material. | Quality: 4.0 | Difficulty: 4
[REVIEW] The material can be a bit challenging and the text covers nothing specific to exams. | Quality: 2.0 | Difficulty: 4
[REVIEW] I wouldn't even consider the material in the course to be very difficult once I am actually taught the material. The problem with this class is that professor Theys doesn't teach most of the materials that he gives you on your homework or your lab. The textbook is also useless when trying to do homework. Only thing you can truly rely on is TA help. | Quality: 1.0 | Difficulty: 4
[REVIEW] I dont see how anyone could give Theys a good review. He makes you purchase a 90$ book he "created" witch is very much USELESS. He is rude to people that ask questions and makes fun of people when they dont understand something. His only redeeming quality is that the exams are somewhat fair. The labs however are not. | Quality: 1.0 | Difficulty: 4
[REVIEW] He&#39;s a decent professor. Despite the mixed reviews, I think he&#39;s actually one of the better CS professors I&#39;ve had. It&#39;s not an easy class, but if you put in the effort -- such as starting on the assignments early, attend lectures, and ask questions -- you should be good. | Quality: 5.0 | Difficulty: 4
[REVIEW] The material Theys covers in class is so general and does not help in the slightest bit on the homework or the labs. It felt as though we were always being asked questions on things he never even covered. TA's are very helpful and Theys is active in piazza. But other than that the class is super hard and the average is like 74 in this class. | Quality: 2.0 | Difficulty: 5
[REVIEW] He has too much pride to be a good teacher. Doesn't provide enough concrete examples to actually learn the material. If you struggle through the assignments and study the solutions you could get A. Imo put anything in live clicker sessions, watch the lectures asynchronously, and don't bother with textbook. | Quality: 1.0 | Difficulty: 4
[REVIEW] Prof Theys is a good person. Lectures are interesting and helpful. However, the HWs are difficult compared to information given in lecture. Should go OHs frequently. Bomblab/ Attacklab are confused but Internet link helpful for solving that. Exam 1 easy and Final not hard (already given hint). Exam 2 about assembly was tough and average was 55-62. | Quality: 4.0 | Difficulty: 4
[REVIEW] CS261 is a difficult course, the material is very dense and a change of pace from normal programming. That said, Prof Theys doesn't really help much with the amount of HW, labs, projects, and difficult exams. The textbook was really no good and TAs were just as lost as the students at times. Be ready to learn the content for exams and ask questions | Quality: 3.0 | Difficulty: 4
[REVIEW] By far one of the most challenging courses I've taken so far. Intro to assembly and reading from a stack is very new and crucial to this course. Lots of hard concepts that are new to most of us. Form a study group early starting with bomb lab, work with each other and study for exams. Review lectures before exams and take lots of notes. | Quality: 2.0 | Difficulty: 5
[REVIEW] Unnecessarily hard with so much homework and stress. TA's are helpful but even they struggle to keep up with so many assignments, homework's, labs and exams. I don't understand why professors think making the coursework so tough and stressful could help students understand the material???? | Quality: 1.0 | Difficulty: 5
[REVIEW] Probably one of the worst CS Professors I have encountered at UIC, He doesn't care at all about the class- lectures have nothing useful its all quite generalized and questions he asks in homework, labs and exams are extremely hard and he doesn't provide any solutions for any papers, Does not value students concerns at all! | Quality: 1.0 | Difficulty: 5
[REVIEW] Probably one of the worst professors at the college. The man does not teach. Lecture consists of absolute bare minimum material with little to no examples, which leaves you clueless on most homeworks and labs. Averages on every assignment have been around 60% with over 100 questions asked on piazza per week. Beware the fake reviews praising Theys. | Quality: 1.0 | Difficulty: 5
[REVIEW] Lectures are important to attend, but even then, it may not be enough to help you for your classwork. Form study groups ASAP. Go to the TA's office hours. Theys isn't much help. Rely on others. A lot of information you need will be found by looking things up. Good luck to all students, and thank your TAs. | Quality: 1.0 | Difficulty: 5
[REVIEW] The main thing to point out is that the quizzes are pretty easy and there is no midterm or final exam associated with this class, but the other assignments, especially the discussions that take place almost every week, are a big waste of time and most of them are way more than what was mentioned in lectures and the textbook. | Quality: 1.0 | Difficulty: 2
[REVIEW] This class is nothing but a waste of time. The workload is easy, but takes a magnificent amount of time. The whole structure of the class is horrendous. I wish this class wasn't mandatory for CS majors. Thank God I am done. | Quality: 1.0 | Difficulty: 1
[REVIEW] There are 1762 Zybook questions/15 weeks you're answering 118 questions each week. 4 discussion board posts due each week, with the topic extending beyond what the professor teaches in the sync sessions. 9 Arduino labs, a final group Arduino project, and the Engineering expo. Quizzes are easy but class is a time sink and irrelevant to CS majors | Quality: 1.0 | Difficulty: 4
[REVIEW] I'm not gonna lie to you future students. You're better off taking a gap year and studying archeology than taking a class with this teacher. It's ridiculous. The class itself probably isn't that bad but the professor makes it insufferable. There is no excuse for the nitpicking behavior that this professor displays. He does not want you to succeed. | Quality: 1.0 | Difficulty: 3
[REVIEW] As long as you show up and pay attention during the lectures you will do well in the course. Had to buy his textbook which was a bit overpriced (only used it to do the mandatory HW checkpoints). Written HWs are not that bad and labs are pretty easy as long as you follow the PDFs given. Exams are not too hard. Overall, he is a great professor. | Quality: 5.0 | Difficulty: 2
[REVIEW] He is okay | Quality: 4.0 | Difficulty: 3
[REVIEW] 362 is not a hard class, make sure to do the 9 arduino labs in time and pay attention in class. Prof. Theys has a good sense of pacing when he is lecturing in class, so make sure you are there and engage in the material. You don't have to, but in my opinion, you get more out of it if you go. | Quality: 5.0 | Difficulty: 2
[REVIEW] just show up to class and get an A. he makes everything very easy. | Quality: 5.0 | Difficulty: 2
[REVIEW] He made this class so easy. Tells you everything in advance about the exams, labs and homework. Be sure to attend his classes. I did badly on labs before which I didn't attend class. He has a lot of satire but is funny. The textbook is useless and too expensive, but he forces you to buy it. Other than that, he's one of the best CS professors. | Quality: 5.0 | Difficulty: 1
[REVIEW] Really good professor, kinda tough on hw and lectures, but very resourceful for help | Quality: 5.0 | Difficulty: 3
[REVIEW] class was extremely easy. | Quality: 5.0 | Difficulty: 1
[REVIEW] Very good lecturer, its easy to follow along his lecture if you actually read the textbook chapters like I did, and theres iClicker as well to help you practice the material. Only thing I didnt like was there was homework every week but I guess thats standard for CS students. Very active on Piazza to help answer questions. Exams were tough. | Quality: 4.0 | Difficulty: 4
[REVIEW] Theys has been teaching 261 for twenty years, and it shows. He's perfected a style of teaching that works if you follow his directions: read. Reading the textbook *and* understanding is the key to success in this course. Read, show up to lecture, and you'll be fine. | Quality: 5.0 | Difficulty: 4
[REVIEW] This is a difficult class since is all new material, however Prof. Theys is very approachable and would help you to succeed, use his office hours. TAs are also very hopeful during labs and office hours | Quality: 4.0 | Difficulty: 4
[REVIEW] He's a good lecturer, the slices are well-made, things are all planned out. Gives interactive lecture with examples and clicker questions. The labs are hard but they do help you understand, or at least know what you don't understand about the materials. Definitely better than your average professors. homework and exams are all fare games. | Quality: 5.0 | Difficulty: 3
[REVIEW] Professor Theys is a very smart professor who will challenge you dramatically but will also make sure that you leave the class knowing what is going on. He can seem a little abrasive at first but he means nothing but the best for his students and this is clear in his lectures. He is always ready to re-explain something or clarify any questions. | Quality: 5.0 | Difficulty: 3
[REVIEW] My only complaint is the amount of homework, some weeks we would have multiple different assignments going on at once. He's a great lecturer and knows what he's talking about. I didn't read much, failed most of the reading quizzes but I still ended with an A. Exams were almost the same thing as the practice exam so study those hard. Would recommend | Quality: 4.0 | Difficulty: 4
[REVIEW] zyante for hw, 9 labs, final group project, midterm and a final. great lecturer. | Quality: 5.0 | Difficulty: 4
[REVIEW] Professor Theys is a really fair and approachable guy, don't hesitate to ask questions in class cause many people don't, or go to him for help. The book was definitely a must-have for my success in the class. If you find yourself struggling, make sure to do the readings and they will get you far for exams. Overall, I would recommend taking him. | Quality: 5.0 | Difficulty: 3
[REVIEW] This class was very difficult, but I also didn't read any of the book. There's a good chance that I'll pass with a B if I do ok on the final, so it's definitely achievable. I actually enjoyed his lectures. I don't really have any complaints about the class since I made it hard on myself by not reading. (Definitely Read, the few times i did helped) | Quality: 3.0 | Difficulty: 4
[REVIEW] pretty lenient grading on exams and projects. Really good at the material he is teaching | Quality: 4.0 | Difficulty: 3
[REVIEW] Good professor, his midterms are exact like old midterms so get yourselfs a copy of previous semester one way or another. The projects can be time consuming but office hours r a blessing and google | Quality: 5.0 | Difficulty: 1
[REVIEW] Really good professor. Make sure to show up to class, do the homework, and read the book. As long as you do that you're pretty much guaranteed to get an A on the midterms. His midterms are pretty similar from semester to semester, only changing 1-2 questions. The final could vary a lot more, so be aware of that. Projects aren't too bad either. | Quality: 5.0 | Difficulty: 4
[REVIEW] His lectures are straightforward, and if you take the time to read the book thoroughly, you should be able to get at least a B. A lot of people struggle in this class because they refuse to read the textbook. | Quality: 4.0 | Difficulty: 4
[REVIEW] Lectures are a bit boring. Lots of iclickers. Labs are based on material he hasn't gone over yet. Weekly schedule is a bit weird but overall not a terrible experience. Very knowledgeable and explains things well. | Quality: 4.0 | Difficulty: 4
[REVIEW] Knows his stuff, but the class is difficult and the way he teaches it makes things worse. Wrongly assumes that people understand the material after reading the book. This can make labs and reading quizzes guessing games. His exams are very similar to the practice which can save your grade. | Quality: 2.0 | Difficulty: 5
[REVIEW] Very literal prof... #1 thing i took from his class is how to answer silly questions. If you're the type of student who comes to lecture expecting to be taught you will not have a good time. If you're the type of student who comes to lecture wishing for new doors to be discovered, you will be challenged appropriately. | Quality: 4.0 | Difficulty: 4
[REVIEW] The living embodiment of &quot;weed out class&quot;. Only the strong survive. | Quality: 2.0 | Difficulty: 5
[REVIEW] cool guy and hair | Quality: 2.0 | Difficulty: 3
[REVIEW] Do not miss ANY ZyBooks hw assignments as they are weighted somewhat heavily. If you have no experience with C, get ready for a long semester. ASK QUESTIONS, LOTS OF THEM, as he moves forward if nobody asks questions. Written exams aren't that bad but inlab finals are challenging. CS lounge will be your home away from home! Avoid him if possible. | Quality: 3.0 | Difficulty: 4
[REVIEW] A great lecturer, but throws you off the deep end a lot. MAKE SURE TO READ YOUR TEXTBOOK BEFOREHAND. | Quality: 3.0 | Difficulty: 5
[REVIEW] The professor is intelligent, but he is a mediocre professor. Clarity and purpose is lacking in his lectures. You will buy an online book that helps teach programming in easy steps. All he does is repeat what you read. He does not teach you anything that the book did not tell you already. Lectures are only for participation points. BOOK &gt; PROFESSOR | Quality: 2.0 | Difficulty: 3
[REVIEW] Lectures are more like discussions. Uses a program called Zybook that serves as the "textbook", but its very interactive, easy to use, and well-understood. CS 107 is a very flexible class, so if you're ahead, you don't have to wait for others. Sarcasm for the most part is on point. | Quality: 5.0 | Difficulty: 3
[REVIEW] Class is setup so that you do most of the work on your own and lectures are an opportunity for questions, so you have to be a little self motivated. | Quality: 4.0 | Difficulty: 3
[REVIEW] Watch out, he knows some things that make's him dangerous. | Quality: 5.0 | Difficulty: 3
[REVIEW] Love his sarcasm. Challenging class but good for you. Fair grader and in general. Consistent due dates. Up-to-date grades. Questions? then ask and you shall receive. Expect to read and use of iclickers. Somewhat fast pace (good & bad). Amazing professor. | Quality: 4.0 | Difficulty: 4
[REVIEW] Pretty hard class, and you need to put in a lot of work. If you put in the work this class is super easy. I never used the book and struggled pretty hard, but I think I'm pretty smart so keep up with the class and do the homework. Also he is very sarcastic which is both good and bad. He knows what he's talking about and fun to listen to. | Quality: 4.5 | Difficulty: 4
[REVIEW] GoTo class and ask tons of questions. He moves on if no one asks questions because he expects you to have done the reading. He provides previous semesters exams and changes around some of the values in the problem. So if you're confused you can work out the problems and figure things out that way. Very nice guy. Loved having him for both 261 & 362 | Quality: 5.0 | Difficulty: 1
[REVIEW] You need to ask questions in class. If you do not, he'll assume you understand and move on. Don't be afraid or embarrassed to ask questions; a good majority of the class is probably just as confused. Labs and homework are difficult, especially if you don't read the book! I didn't and learned the hard way. He does clicker quizzes almost every class | Quality: 3.0 | Difficulty: 4
[REVIEW] He's the best professor in UIC. Tests are fair. Wants us to learn the material, more importantly understand it. Overall very interesting class. Glad to have theys in 261 and 362. | Quality: 5.0 | Difficulty: 4
[REVIEW] Do the homework, ask questions in class, and spend some time independently researching the material and you'll do fine. Don't expect a free ride: Professor Theys doesn't curve the hell out of his class, unlike many professors I've had. If you're willing to learn, he's willing to teach, you just have to work for it. One of the best at UIC. | Quality: 3.5 | Difficulty: 4
[REVIEW] If you come to class, and do the HW, you WILL pass, if not, you wont. | Quality: 4.5 | Difficulty: 3
[REVIEW] WANTS his students to learn and WILL teach his students. Nope, the latter doesn't exist in his dictionary. He basically wants YOU to learn (somehow with magic) without his help. If you can learn yourself from book, CS-261 is a great class to understand the fundamental architect. I hope if he understand students PAY to learn from him. | Quality: 1.0 | Difficulty: 5
[REVIEW] Really wants students to learn the material. | Quality: 5.0 | Difficulty: 3
[REVIEW] The class covers several topics: logic gates, muxdecoder, sequential circuits, control words, processor, USB packets, RAM cells, and virtual memory. Arduino labs and a project are also expected. The exams are easy after going over HW's and previous exams, which he posts on Piazza. For me, his lectures and notes are not great, I relied on the book. | Quality: 2.5 | Difficulty: 3
[REVIEW] There is a quiz here and there with clickers. Tests are a little hard, but completely fair. Lots of reading involved. One of the best professors at UIC. Really cares about the fact that you understand the material and you're not just passing by. Expects questions from people and will help you as long as you ask. | Quality: 4.0 | Difficulty: 4
[REVIEW] cs 362 is more laid back than 261. Focuses more on the arduino and some more hardware side of cs. the class itself I'd say is a bit easier than 261. Did below average on both midterm and final and still ended up with a high B. Most of the work is from the final project (not hard), labs, and homework. Cracks a joke here and there. | Quality: 3.0 | Difficulty: 4
[REVIEW] He uses the book a lot. Be sure to read and skim before for each week. If you don't understand anything make sure you ask him because he will explain it real well. Test can be tough make sure to study. Any doubts ask him that is the key. Class is on the harder side but its manageable if you stay on top of things. Classes are entertaining and fun. | Quality: 4.0 | Difficulty: 3
[REVIEW] Theys' classes are really easy if you keep up with the material and constantly ask questions in class. If no one has any questions on a topic, he's just going to move onto the next one. Exams were basically copypaste of the practice exams he provides. Projects were relatively easy although some have unclear instructions. Clicker quizes in class. | Quality: 3.0 | Difficulty: 4
[REVIEW] There is no book bc its expensive enough to buy an arduino kit, 150$. He offers supplementary texts from where he gets his lecture info from, buy one 35$. Hw is challenging but doable. Labs are easy to moderate but daunting at first read. You design a final project based on arduino. There is still a final exam and a midterm but they aren't hard. | Quality: 4.5 | Difficulty: 2
[REVIEW] Theys is a good, clear lecturer with a good sense of humor. He also has a good sense of how his class can foster an all around skill set for a professional (challenging homework, group interactions, writing, and presentations). I've taken 3 courses with him and would take more if I could. | Quality: 5.0 | Difficulty: 3
[REVIEW] Great professor! One of the better ones that the CS department at uic has to offer! The book is mandatory for this class so make sure you keep up on the chapters or you will get lost easily! | Quality: 4.0 | Difficulty: 3
[REVIEW] Great Professor, His projects are challenging and exams are very theory based. His grading is very tough!!! | Quality: 3.5 | Difficulty: 5
[REVIEW] Overall excellent professor. Challenges his students. Brings sarcasm and sense of humor. He knows the material. For the most part he teaches it well. Sometimes he changes his techniques and they are not as productive. He will not spoon feed you. You may get lost. If you ask for help he may bring you back up to speed. I recommend reading the book! | Quality: 4.0 | Difficulty: 4
[REVIEW] Great professor. He is really helpful when students ask for help. He really wants his students to learn the material. Sure the class was really hard, it's a combination of two courses which was recently split in two, but the professor only made it easier. Did a great job at teaching CS201. | Quality: 5.0 | Difficulty: 4
[REVIEW] Class is hard but because of the material. It'd be difficult regardless of who was teaching. Explanations were well done, you ask questions and you get answers, fair grader. If you put in effort for his class (and trust me, it needs a lot) and consistently keep up with the material, you'll be fine. Definitely not an easy A, but is anything? | Quality: 5.0 | Difficulty: 5
[REVIEW] Theys seemed to be a very mediocre professor. I had him for both 201 and 266 the same semester, and the main problem with his classes is that there is too much material to cover, and he knows it! Doesn't care that his class averages are in the 50's, and he doesn't curve so grades are poor. The project was extremely difficult. I don't recommend him! | Quality: 2.5 | Difficulty: 5
[REVIEW] Very good teacher. Demanding, unmerciful, mocking but definitely teaches well and provides enough tools for everyone to succeed and exceed. Doesn't care about student's grades, just that they get what's going on. | Quality: 5.0 | Difficulty: 4
[REVIEW] Never take him if he is teaching CS. | Quality: 2.0 | Difficulty: 5
[REVIEW] Grades too difficult, moves too fast, this includes my having spoken personally to him, my having taken thorough class notes, and my having managed to pull A's in college computer and coding classes. Workload too heavy, I felt like I needed to quit work and move back in with my parents to keep up. Worst classroom experience ever. Very disappointed. | Quality: 1.0 | Difficulty: 5
[REVIEW] Lots of work but if you enjoy programming the projects are all easy, you don't need to buy the book it is just for reference, but you can use google to help instead. You only need to show up for labs and tests, he posts all assignments and notes online. | Quality: 5.0 | Difficulty: 1
[REVIEW] Brains and ability to be good, but doesn't respect students. Smug, sarcastic, and egotistical. Has a who-cares attitude, he-knows-the-stuff-lets-see if-you-can-follow-along... I'd rather spend my money on someone who knows less, but has a better sense of the learning process and less of an ego. Notes are useless, lab/project guidance worse... | Quality: 1.5 | Difficulty: 3
[REVIEW] I have never had so much homework in my life. He piled on a program, lab, test, codelab, and quiz all in the same week. This is not unusual for him. He is a fine teacher but gave way to much homework. He's also not very helpful in class when students asked questions. I can't believe how much work I did and then end up with a B. | Quality: 2.0 | Difficulty: 5
[REVIEW] somehow assumed that we know everything already and dont need to be taught. lecture is useless. outside of class, he's a nice guy. he also seems like a pretty smart man. however, he did not succeed in passing down his knowledge of programming to us nubins too well. sorry theys.. | Quality: 2.5 | Difficulty: 3
[REVIEW] Professor Theys is absolutely AWESOME! He genuinely cares about your grade in the class and notices the effort that you put in. He doesn't &quot;curve&quot; and people tend to think that's bad but he actually does a mean shift which helped me a lot and got me an A in the class ^_^. DEFINITELY recommend any class that he might be teaching. | Quality: 4.5 | Difficulty: 2
[REVIEW] Professor Theys is cool :) | Quality: 5.0 | Difficulty: 4
[REVIEW] One of the best CS professors at UIC. Knows the material well. Class is not very easy, but if you go to every lecture and read the pertinent sections in the book (preferably before lecture), the material won't be very hard to understand. He posts lecture notes from every lecture online, which is very helpful. | Quality: 3.5 | Difficulty: 3
[REVIEW] VERY fair grader; Notes always available online, so you can concentrate on participating in the class. Exams are VERY fun too. He pulls questions right out of &quot;Professor Layton and the Curious Village.&quot; It's a good choice too, the game really helps put you in the right mindset for problem solving skills you'll need in this class. Totally take him! | Quality: 4.5 | Difficulty: 3
[REVIEW] Very good teacher. Speaks clearly. At times can get boring. When he asks a question in class he won't continue until somebody answers the question. | Quality: 3.5 | Difficulty: 1
[REVIEW] The material was very fast paced, but he was more than willing to help the students through whatever problems they had with it. He was easy to understand and encouraged class attendance and participation. He recommended a particular book, but was open to students using whatever text they felt comfortable with. | Quality: 5.0 | Difficulty: 4
[REVIEW] Theys is one of the better teachers in the dept. Most profs are obsessed with research and you can tell teaching a class gets in the way of their work, not here. Prof. Theys is very knowledgeable, and is quite easy to get along with. His courses tend to be a bit more work than others, but the knowing the material is worth it. Grading is fair. | Quality: 4.5 | Difficulty: 4
[REVIEW] He's a very funny professor, which made the class really enjoyable. I was afraid that this might be another english class, which I hate, but it wasn't, it was really fun and I wish every professor was like him. | Quality: 5.0 | Difficulty: 1
[REVIEW] Cool and funny guy, he is very laid back. Just one assignment per week and 4 projects. Load is definetly manageable even if you are taking other CS courses. Exams are medium difficulty, but if you go to lecture and study a little before you will be alright. I think hes professor's troy's younger brother. | Quality: 4.5 | Difficulty: 3
[REVIEW] Excellent professor, very funny, very friendly. I enjoyed the class very much, and I hope he teaches again, so other students can benefit. It has a lot of writing assignments, but they are more about what you think about this (issue). I highly recommend you to take this class if he's teaching it. | Quality: 5.0 | Difficulty: 2
[REVIEW] really good and fun teacher, he's not easy but if you come to class and do some studying before exams you'll be fine. Projects not bad, they take time but are not that difficult, again read examples and book and you will be able finish them before due date. | Quality: 4.5 | Difficulty: 3
[REVIEW] Goes to fast during the course. Projects are assigned weeks before he even goes over the material you need for the projects. Spends to much time on things that does not matter and to little on things that do. Exams are straight forward though, study hard and go to lecture everyday and you should be OK. | Quality: 2.0 | Difficulty: 3
[REVIEW] He is good at answering questions, and the concepts he teaches are very straight forward. If you read the book you'll be fine. His projects are nice and not too bad, but challenging enough so you're not bored. Just understand the concepts in the book and you should get an A. | Quality: 4.5 | Difficulty: 2
[REVIEW] You have to read the textbook and learn by yourself | Quality: 1.0 | Difficulty: 4
[REVIEW] Professor Theys sucks at teaching , he uses Powerpoint slides a lot. The slides put you to sleep in class. Good at grading and the tests are pretty straight forward. | Quality: 2.0 | Difficulty: 3
[REVIEW] Prof. Theys is a very good teacher. He will make you work, there is no question. However, I fell that I know my material from CS 266 so well, that I can understand the concepts I'm learning now in CS 366 much better than I otherwise would. | Quality: 4.5 | Difficulty: 4
